Date,Track,Class,Race,FlagStatus,FlagIcon,LapsToGo,MRPLogo,Transfers,Position1,Number1,FirstName1,LastName1,FullName1,Laps1,Diff1,LastLapTime1,BestLap1,BestLapTime1,Position2,Number2,FirstName2,LastName2,FullName2,Laps2,Diff2,LastLapTime2,BestLap2,BestLapTime2,Position3,Number3,FirstName3,LastName3,FullName3,Laps3,Diff3,LastLapTime3,BestLap3,BestLapTime3,Position4,Number4,FirstName4,LastName4,FullName4,Laps4,Diff4,LastLapTime4,BestLap4,BestLapTime4,Position5,Number5,FirstName5,LastName5,FullName5,Laps5,Diff5,LastLapTime5,BestLap5,BestLapTime5
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,1,15F,Scott,Flickinger,Scott Flickinger,14,-3 laps,55.405,4,48.418,2,D19,Dillan,Stake,Dillan Stake,16,-1 laps,0.000,8,48.766,3,71,Hudson,ONeal,Hudson ONeal,10,-7 laps,0.000,5,49.122,4,14,Josh,Richards,Josh Richards,7,-10 laps,50.865,3,49.267,5,94M,Jason,Miller,Jason Miller,17,5.407,0.000,13,50.663
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,6,81E,Tanner,English,Tanner English,12,-5 laps,0.000,4,50.721,7,22F,Chris,Ferguson,Chris Ferguson,10,-7 laps,50.751,10,50.751,8,1T,Tyler,Erb,Tyler Erb,12,-5 laps,0.000,4,50.793,9,43A,Tyler,Bare,Tyler Bare,10,-7 laps,0.000,6,50.932,10,2T,Kyle,Lee,Kyle Lee,15,-2 laps,0.000,10,51.114
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,11,1S,Brandon,Sheppard,Brandon Sheppard,13,-4 laps,57.237,5,51.455,12,40B,Kyle,Bronson,Kyle Bronson,5,-12 laps,51.458,5,51.458,13,24,Dylan,Yoder,Dylan Yoder,13,-4 laps,0.000,5,51.672,14,20,Jimmy,Owens,Jimmy Owens,8,-9 laps,53.960,7,51.786,15,32J,Shaun,Jones,Shaun Jones,12,-5 laps,56.334,5,52.039
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,16,6,Kyle,Larson,Kyle Larson,10,-7 laps,0.000,7,52.167,17,20F,Trever,Feathers,Trever Feathers,6,-11 laps,0.000,5,52.227,18,48,Colton,Flinner,Colton Flinner,13,-4 laps,0.000,9,52.407,19,49,Jonathan,Davenport,Jonathan Davenport,8,-9 laps,52.921,8,52.921,20,8,Kyle,Strickler,Kyle Strickler,2,-15 laps,57.577,1,53.009
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,21,2D,Dan,Stone,Dan Stone,9,-8 laps,56.858,8,53.260,22,7,Ross,Robinson,Ross Robinson,4,-13 laps,57.564,3,53.534,23,3W,Tim,Wilson,Tim Wilson,14,-3 laps,0.000,6,53.627,24,9,Devin,Moran,Devin Moran,13,-4 laps,59.942,4,54.276,25,21,Billy,Moyer Jr,Billy Moyer Jr,11,-6 laps,0.000,3,54.444
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,26,9T,Will,Thomas,Will Thomas,3,-14 laps,54.572,3,54.572,27,1,Earl,Pearson Jr,Earl Pearson Jr,5,-12 laps,54.810,5,54.810,28,39,Tim,McCreadie,Tim McCreadie,17,,0.000,7,55.083,29,7D,Drake,Troutman,Drake Troutman,9,-8 laps,0.000,6,55.295,30,25Z,Mason,Zeigler,Mason Zeigler,11,-6 laps,0.000,9,55.304
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,31,1J,Boom,Briggs,Boom Briggs,4,-13 laps,55.650,4,55.650,32,93,Bobby,Pierce,Bobby Pierce,6,-11 laps,0.000,1,55.719,33,72,Michael,Norris,Michael Norris,13,-4 laps,0.000,5,55.722,34,4,Gary,Stuhler,Gary Stuhler,8,-9 laps,0.000,5,55.885,35,43,Jason,Covert,Jason Covert,15,-2 laps,0.000,6,55.909
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,36,25,Shane,Clanton,Shane Clanton,6,-11 laps,55.961,6,55.961,37,12D,Doug,Drown,Doug Drown,6,-11 laps,56.041,6,56.041,38,25A,Andy,Anderson,Andy Anderson,5,-12 laps,0.000,4,56.101,39,2J,Jeff,Rine,Jeff Rine,12,-5 laps,57.499,7,56.196,40,17,Nick,Dickson,Nick Dickson,8,-9 laps,58.292,3,56.677
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,41,66C,Matt,Cosner,Matt Cosner,12,-5 laps,57.354,12,57.354,42,9H,Hayes,Mattern,Hayes Mattern,10,-7 laps,0.000,7,57.501,43,55L,Donald,Lingo Jr.,Donald Lingo Jr.,5,-12 laps,0.000,2,57.973,44,69,Jon,Hodgkiss,Jon Hodgkiss,8,-9 laps,0.000,3,58.052,45,88,Trent,Ivey,Trent Ivey,7,-10 laps,0.000,4,58.066
,,Lucas Oil Late Model Dirt S,Competitors,Green,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/broadcast_flag_green.png,3,https://dy5vgx5yyjho5.cloudfront.net/v1/siteresources/10016/v3/img/mrp_broadcast_logo.png,Top 3 transfer,46,06,Mike,Lupfer,Mike Lupfer,9,-8 laps,59.350,7,58.796,47,2S,Stormy,Scott,Stormy Scott,10,-7 laps,0.000,2,58.948,48,22,Gregg,Satterlee,Gregg Satterlee,7,-10 laps,59.394,7,59.394,49,05,Roy,Deese Jr.,Roy Deese Jr.,4,-13 laps,0.000,2,0.000,50,86B,Austin,Berry,Austin Berry,3,-14 laps,0.000,1,0.000
